id	name	description	rating	country	city	restaurantDetails
21	Hotel Mirada Del Lago	Stylowy i utrzymany w górskim klimacie hotel, który przypadnie do gustu najbardziej wymagającym miłośnikom białego szaleństwa. Położony w bliskiej odległości od wyciągów, do których dojechać można bezpłatnym, hotelowym ski busem. Po szusowaniu na Gości czeka strefa wellness z basenem, hammamem, saunami oraz bogatą ofertą masaży, a wieczór umili muzyka na żywo. Wspaniała atmosfera oraz kryty basen sprawiają, że to również doskonały wybór na wyjazd z rodziną. Restauracja serwująca dania kuchni tureckiej i międzynarodowej zadowoli najbardziej wymagających. Hotel posiada wszystkie udogodnienia dla narciarzy: narciarnię, wypożyczalnię i sklep z asortymentem sportowym. Na terenie całego obiektu jest dostępny bezpłatny internet bezprzewodowy. Skipass w cenie!	5.2	Turcja - narty	Kayseri
22	Hotel Cha-Da Thai Village Resort	Zaprojektowany w tradycyjnym tajskim stylu, otoczony skałami i zielonymi wzgórzami. Położony blisko słynnych plaż Ao Nang i Nappharat Thara, do których można dotrzeć stąd spacerem. Bezpłatny bus hotelowy kursuje do prywatnego klubu na plaży, gdzie warto wynająć łódkę i zwiedzić okoliczne wysepki. Wypoczynek z pewnością umili ładny kompleks basenowy z barem typu swim-up, otoczony soczystym, tropikalnym ogrodem, przestronne, wygodne pokoje i możliwość wypróbowania tradycyjnych tajskich potraw. W 2022 r. hotel otrzymał ŻAGIEL ITAKI za najwyższą jakość świadczonych usług.	5.0	Tajlandia	Krabi
23	Paradise Bay Resort	Malowniczo położony na klifie nad zatoką Paradise, zachwyca widokami i wysokim standardem usług. Oferuje przestronne, komfortowe i dobrze wyposażone pokoje, jego atutem jest także ciekawa oferta kulinarna. W 3 restauracjach à la carte można skosztować kuchni śródziemnomorskiej, a także specjałów lokalnej kuchni maltańskiej. Do dyspozycji Gości są 3 baseny z tarasami do opalania, z których roztacza się rewelacyjna panorama wybrzeża oraz podgrzewany, kryty basen z jacuzzi. Szczególnie polecany pragnącym połączyć wypoczynek ze zwiedzaniem i odkryć niezwykłe miejsca na mapie Malty.	4.6	Malta	Malta
24	Hotel Serra Palace (ex. LTI Serra Resort)	Wspaniała propozycja dla rodzin i miłośników wodnych szaleństw! Świetny kompleks 6 basenów i aż 15 zjeżdżalni dla dorosłych i dzieci zapewnią wiele uciechy wszystkim, którzy lubią zabawę w wodzie. Dodatkowo rozrywkę zapewnia sympatyczny zespół animatorów, a przyjazna obsługa pozwoli poczuć prawdziwie wakacyjną atmosferę. Smakowite posiłki serwowane w ramach bogatej oferty all inclusive i napoje podawane przez całą dobę pozwolą przyjemnie uzupełnić energię. 	5.3	Turcja	Side
25	Hotel Blue Sea Costa Jardin & Spa	Niezapomniane wakacje zarówno dla dzieci, jak i ich rodziców! Zachwyca pięknym, malowniczym położeniem, dużym ogrodem ze śródziemnomorską roślinnością i kwiatami oraz restauracją z rewelacyjnym widokiem, daniami tematycznymi i pokazami gotowania. Do dyspozycji Gości jest duży basen ze zjeżdżalniami, centrum spa i bogaty program animacji. Polecany ze względu na spokojną okolicę i równocześnie łatwy dostęp do wakacyjnych atrakcji – do centrum Puerto de la Cruz i na plażę Gości dowozi bezpłatny, hotelowy bus.	4.5	Wyspy Kanaryjskie	Teneryfa
26	Hotel Themis Beach	Zanurz się w niepowtarzalnym greckim klimacie na słynnej Krecie! Cudownie położony hotel, tuż przy piaszczystej plaży z niesamowitymi widokami na Morze Śródziemne i oddalone wysepki zaprasza na niezapomniane wakacje. Zasmakuj pysznej, lokalnej kuchni, odpocznij w świetnie wyposażonym pokoju i skorzystaj z bogatej oferty sportowej, w której znajdziesz m.in. duży basen, siłownię i kort tenisowy. Na najmłodszych czeka natomiast miniklub, minidisco, plac zabaw i liczne animacje. Tutaj nie ma czasu na nudę! Taras z piękną panoramą jest idealnym miejscem na relaks, które musisz koniecznie odwiedzić, a okolica pełna jest wakacyjnych rozrywek. Prócz antycznych zabytków, pięknych plaż i licznych knajpek możesz tutaj doświadczyć niesamowitego klimatu i przepięknej przyrody. Odwiedź „czwarty kontynent” i daj się porwać jego magii!	5.5	Grecja	Kreta
27	Hotel Dom Pedro Garajau Apartment & Nature	Zadbany i komfortowy, należy do znanej portugalskiej sieci Dom Pedro, oferuje wygodny wypoczynek oraz dobrą jakość usług. Ładne baseny w palmowym ogrodzie są idealnym miejscem na pełen relaks. Niedaleko jest stąd do Ponta do Garajau, punktu widokowego na klifowym przylądku, gdzie umieszczono pomnik Chrystusa Króla, podobny do tego, który góruje nad Rio de Janeiro. Okoliczne plaże stanowią część rezerwatu morskiego, a czystość wody sprzyja nurkowaniu.	4.3	Madera	Madera
28	Hotel Ilusion Vista Blava	Sympatyczny i kameralny, położony w spokojnej okolicy, w odległości krótkiego spaceru od piaszczystej plaży – jednej z najładniejszych na wyspie. Hotel oferuje dobry standard serwisu i przytulną, swobodną atmosferę. Goście doceniają miłą i pomocną obsługę, a do ich dyspozycji jest ładnie zaaranżowany basen i brodzik dla dzieci. Zadbane pokoje są praktycznie urządzone i gwarantują wygodny wypoczynek. Idealny również jako baza wypadowa do zwiedzania wyspy.	4.5	Hiszpania	Majorka
29	Hotel Jie Jie Beach by Jetwing	Prawdziwa egzotyka na wyciągnięcie ręki! Palmy kokosowe schylające się do oceanu i fantastyczna, piaszczysta plaża – to doskonałe miejsce na medytację i odpoczynek, a wieczorem sceneria na romantyczną kolację przy zachodzie słońca. Goście mają do dyspozycji duży basen z widokiem na ocean, restaurację gdzie można spróbować pikantnej, lankijskiej kuchni i kilka barów. Atutem hotelu są nowoczesne pokoje urządzone w minimalistycznym stylu oraz profesjonalna i zawsze pomocna obsługa.	4.3	Sri Lanka	Sri Lanka
30	The Mora Zanzibar	Całkowicie nowy, bardzo elegancki i oferujący pięciogwiazdkową jakość usług – to prawdziwa perła na mapie Zanzibaru! Położony na rozległym terenie, tuż przy plaży i otoczony zielonym ogrodem, jest prawdziwą oazą relaksu i poleca się zarówno na spokojny urlop jak i wypoczynek z dziećmi – dla najmłodszych liczne atrakcje, w tym miniklub, pokój zabaw, animacje i wydzielone części w każdym z dwóch basenów. Do dyspozycji Gości jest też centrum sportów wodnych, spa i 4 restauracje, w których można skosztować specjałów z różnych stron świata – wszyscy miłośnicy dobrej kuchni z pewnością znajdą tu coś dla siebie, a pięknie urządzone pokoje z nowoczesnymi udogodnieniami pozwolą w pełni zregenerować siły i cieszyć się wyjątkowymi, słonecznym wakacjami. 	5.7	Zanzibar	Zanzibar
31	Hotel & Resort Barone di Mare	Położony w sercu regionu Salento, w pobliżu Torredell’Orso, słynie nie tylko z cudownego otoczenia, ale również gościnności i komfortowych warunków wypoczynku. Zatopiony w zieleni, składa się z kilku budynków w niskiej zabudowie, cudownie wkomponowanych w lokalny krajobraz. Oferuje wakacyjną atmosferę i mnóstwo możliwości spędzenia czasu aktywnie – w resorcie 3 baseny, korty tenisowe, atrakcje dla dzieci, centrum spa i wiele więcej! Do wyboru różne rodzaje pokoi, w tym rodzinne, wszystkie przestronne, z balkonem lub tarasem. W odległości spaceru cudowna, oddzielona lasem sosnowym plaża, która jest idealnym miejscem na relaks na leżaku i kąpiele wodne. Warto zaplanować wycieczkę do Lecce – jednego z najpiękniejszych miast na południu Włoch, znanego wśród miłośników sztuki barokowej!	5.2	Włochy	Apulia
32	The Temple Tree Resort & Spa	Mały, kameralny hotel o wysokim standardzie, dla najbardziej wymagających Gości ceniących spokojną lokalizację, komfort i nastrojową atmosferę. Wszystkie, luksusowo urządzone pokoje mają widok na Ocean Indyjski. Bliskość popularnego, wakacyjnego resortu Bentota z klimatycznymi restauracyjkami i barami, a także urokliwe otoczenie południowo - zachodniego wybrzeża sprzyjają romantycznym spacerom brzegiem oceanu. Do dyspozycji Gości jest eleganckie spa, gdzie stosuje się innowacyjne metody poprawiające stan ciała i ducha.	4.5	Sri Lanka	Sri Lanka
33	Hotel Kakkos Terra Blue	Zapraszamy na cudowny wypoczynek na Krecie – największej z greckich wysp w hotelu tylko dla dorosłych! Kameralny hotel Kakkos Terra Blue dołącza do grona elitarnych hoteli Kakkos Collection, które szczycą się wysoką jakością świadczonch usług i znakomitym serwisem. Pięknie położony w spokojnym miejscu, na wzniesieniu, skąd roztaczają się wspaniałe widoki na Ierapetrę i morze. W ciągu dnia możesz spędzić czas tak, jak lubisz najbardziej – korzystać z promieni greckiego słońca na plaży, wybrać się na zwiedzanie okolicy lub zostać na miejscu. Do dyspozycji Gości przygotowano m.in. basen, restaurację z tarasem i 2 bary, w tym przy basenie. Po dniu pełnym urlopowych atrakcji możesz wypocząć w wygodnych i funkcjonalnie urządzonych pokojach, które są wyposażone we wszystko, czego potrzebujesz na wakacjach.	5.5	Grecja	Kreta
34	Hotel Graceland Khao Lak Beach Resort	Stylowy i elegancki, położony w palmowym ogrodzie, przy dwóch piaszczystych plażach to idealne miejsce na romantyczne wakacje we dwoje. Pięknie zaaranżowane baseny, wyszukany wystrój wnętrz i elementy naturalnego drewna nadają hotelowi wyjątkowego charakteru. Przestronne i komfortowe pokoje są dobrze wyposażone, a na terenie całego hotelu dostępny jest bezpłatny internet bezprzewodowy. Hotelowym busem można wybrać się do Khao Lak z licznymi sklepami i knajpkami, gdzie koniecznie trzeba spróbować lokalnej kuchni.	5.3	Tajlandia	Khao Lak
35	Hotel Costa Verde	Położony na malowniczym wzgórzu porośniętym cytrynowym i pomarańczowym gajem, z zachwycającym widokiem na morze i góry. Jest to jeden z większych hoteli w okolicy, znany ze znakomitych animacji, zajęć sportowych i programów rozrywkowych. Wspaniała, prywatna plaża hotelowa zaprasza nie tylko na leniwy wypoczynek – można tu także skorzystać z szerokiej oferty sportów wodnych. Nieduży aquapark, znajdujący się w sąsiedztwie hotelu, to kolejna atrakcja dla całej rodziny. Znakomite miejsce dla osób ceniących aktywny wypoczynek, świetny jako baza wypadowa do zwiedzania przepięknych okolic, w tym oczywiście sycylijskiej perełki – Cefalu.	5.0	Włochy	Sycylia
36	Hotel Vikingen Infinity Resort & Spa	Nowoczesna architektura, stylowo zaaranżowane wnętrza i komfortowo urządzone pokoje robią niesamowite wrażenie i zapraszają na wyjątkowy pobyt. Duży i doskonale utrzymany kompleks basenowy jest idealnym miejscem na błogi wypoczynek, a smaczne i różnorodne posiłki serwowane w ramach all inclusive najlepiej zjeść na tarasie z widokiem na morze. Dwa baseny ze zjeżdżalniami usytuowane przy plaży to doskonałe rozwiązanie dla tych, którzy chcą łączyć relaks z szaloną zabawą na zjeżdżalniach wodnych. Warto też wybrać się na wycieczkę do pobliskiego Delfinarium SEALANYA, żeby zobaczyć pokaz sztuczek, a nawet popływać z delfinami. 	5.1	Turcja	Alanya
37	Hotel Royal Beach	Rozległy, zielony resort położony w słynnej zatoce Madirokely, tuż przy pięknej, ciągnącej się kilometrami plaży to idealna sceneria na egzotyczne wakacje. Zaprojektowany w stylu wakacyjnej wioski składa się z kilku budynków w niskiej zabudowie i ciekawie zaprojektowanych basenów z tarasami do opalania. Wnętrza to połączenie tradycyjnych motywów kreolskich i malgaskich oraz nowoczesnych dodatków – pięknie urządzone, jasne pokoje to idealne miejsce na odpoczynek po dniu pełnym wrażeń! Doskonałe miejsce nie tylko dla wielbicieli relaksu, ale również sportów wodnych, a w szczególności nurkowania.	5.5	Madagaskar	Madagaskar
38	Hotel Abora Catarina	Znakomicie położony, blisko centrum kurortu z restauracjami i pubami, w spokojnym miejscu na początku Tirajana Avenue, niedaleko rezerwatu przyrody Dunas des Maspalomas. Profesjonalnie prowadzony, ma 3 zadbane baseny, przepiękny ogród i nowocześnie urządzone, jasne wnętrza. Szczególnie polecany dla rodzin z dziećmi, dla których przygotowano wiele atrakcji.	5.0	Wyspy Kanaryjskie	Gran Canaria
39	Hotel Azure Memories	Nowo wybudowany, elegancki i stylowy, składa się z budynku głównego i willi w niskiej zabudowie z białego kamienia. To wymarzone miejsce na romantyczne wakacje w wyjątkowej, kameralnej atmosferze. Gustowne pokoje, świetny serwis i atrakcje siostrzanego hotelu Azure Resort & Spa, pozwolą w pełni cieszyć się z wakacji na greckiej wyspie. Blisko stąd do pięknej plaży i centrum Tsilivi – znanego kurortu na wschodzie wyspy oraz miasta Zakynthos, do którego można dojechać lokalnym autobusem.	5.2	Grecja	Zakynthos
40	Hotel Santa Lucia e Le Sabbie D'oro	Bardzo popularny wśród naszych Gości, którzy doceniają świetne położenie i dobry serwis hotelowy. Do ślicznego Cefalu dojść można mniej więcej w 20 min, spacerowym krokiem, przyjemną nadmorską promenadą lub dojechać komunikacją publiczną spod hotelu. Zabytkowe miasteczko uwiedzie każdego kolorowymi uliczkami i niezliczonymi miejscami do zabawy i jedzenia. Romantyczny widok na La Rocca, majestatyczną skałę, dominującą nad Cefalu, podziwiać można także z hotelowej plaży i zadbanego basenu.	4.4	Włochy	Sycylia
41	Hotel Royal Horizon Boa Vista	Jeśli szukasz idealnego miejsca na egzotyczny urlop, to mamy dla Ciebie coś wyjątkowego! Hotel położony na rozległym terenie, na pięknej, rajskiej wyspie Boa Vista, której nazwa oznacza „dobry widok”, z resztą nie bez powodu – tutaj oczy cieszy niemal wszystko, w tym turkusowy, krystalicznie czysty ocean, błękitne niebo, białe plaże i piękna panorama okolicy! Obiekt jest bardzo chwalony i lubiany przez Gości, zachwyca wysoką jakością usług, przemiłym personelem, doskonałą kuchnią oraz licznymi udogodnieniami – na miejscu do dyspozycji jest kilka basenów, 4 bary i ciekawe atrakcje dla wczasowiczów w każdym wieku, spośród których szczególnie doceniane są animacje, prowadzone przez zespół profesjonalnych animatorów. O krok stąd znajduje się szeroka, przestronna plaża z drobnym piaskiem i wydzieloną częścią hotelową, którą Goście najchętniej wybierają na relaks – tu każdy znajdzie dla siebie miejsce na spokojny wypoczynek na leżaku.	5.4	Wyspy Zielonego Przylądka	Boa Vista
42	Hotel R2 Pajara Beach	Lubiany za wakacyjną atmosferę, zaprojektowany z rozmachem, położony w pięknym miejscu blisko najsłynniejszych plaż Fuerteventury. Oferuje znakomite warunki na wakacje dla wszystkich kochających słońce i ocean. Ciekawa architektura hotelu, imponujący hol z panoramicznymi windami i wodospadem, komfortowe pokoje z marmurowymi łazienkami i podłogami to znakomite połączenie estetyki i funkcjonalności. Firmowany przez grupę R2 gwarantuje profesjonalny serwis i unikalny program ExpeR2ience.	5.1	Wyspy Kanaryjskie	Fuerteventura
